CO2 Time,Total Time,Cum. Inj. Water,Cum Prod Water,Cum. Oil Prod. ,Cum. Inj CO2,Cum. Prod Gas, CH Pressure
(hrs),(hrs),(rml),ml,(sep_ml),(rml),(std.cc),atm
104.2613946,465.7995651,4095.597751,3187.058364,729.9728588,1092.308408,329806.4876,255.0962923
104.2780612,465.8162318,4095.597751,3187.03844,731.1427072,1092.483287,329817.1191,255.0554551
104.2947279,465.8328985,4095.597751,3187.058364,730.4774583,1092.658166,329812.7417,255.1371294
104.3113946,465.8495651,4095.597751,3187.128098,730.8594074,1092.833045,329838.2314,255.2596401
104.3280612,465.8662318,4095.597751,3187.108174,729.9447822,1093.007924,329835.3017,255.0962923
104.3447279,465.8828985,4095.597751,3187.03844,730.296937,1093.182802,329854.5536,255.3004768
104.3613946,465.8995651,4095.597751,3187.08825,731.7252898,1093.356634,329802.8393,255.3413134
104.3780612,465.9162318,4095.597751,3186.470604,732.969626,1093.531513,331985.4834,254.7968171
104.3947279,465.9328985,4095.597751,3186.20661,732.4085445,1093.706392,331243.1577,254.8376549
104.4113946,465.9495651,4095.597751,3185.683604,733.8696198,1093.881271,331223.4215,254.5517879
104.4280612,465.9662318,4095.597751,3185.262708,733.5398039,1094.05615,331250.2058,254.7559792
104.4447279,465.9828985,4095.597751,3184.229147,733.463706,1094.231029,331348.0746,254.5517879
104.4613946,465.9995651,4095.597751,3184.946413,731.8615759,1094.402766,331423.0273,254.7151411
104.4780612,466.0162318,4095.597751,3185.404667,731.2465595,1094.577645,331454.8457,254.8784927
104.4947279,466.0328985,4095.597751,3185.81311,732.5163639,1094.752524,331498.9333,254.5926264
104.5113946,466.0495651,4095.597751,3186.042237,730.5248704,1094.927403,331559.5984,254.7151411
104.5280612,466.0662318,4095.597751,3186.201629,731.1561908,1095.102282,331609.6474,254.6334647
104.5447279,466.0828985,4095.597751,3186.361022,731.0892803,1095.27716,331676.2283,254.7151411
104.5613946,466.0995651,4095.597751,3186.311211,731.7206274,1095.453087,331685.4121,254.7559792
104.5780612,466.1162318,4095.597751,3186.45068,731.6638197,1095.627965,331720.2593,254.7559792
104.5947279,466.1328985,4095.597751,3186.520414,730.5397918,1095.801797,331780.0166,254.7968171
104.6113946,466.1495651,4095.597751,3186.520414,731.2010142,1095.976676,331812.4672,254.7968171
104.6280612,466.1662318,4095.597751,3186.620034,731.4235759,1096.151555,331867.6764,254.7151411
104.6447279,466.1828985,4095.597751,3186.719655,731.5959657,1096.324339,331902.6471,254.7559792
104.6613946,466.1995651,4095.597751,3186.669845,731.7484798,1096.498171,331910.2276,254.7968171
104.6780612,466.2162318,4095.597751,3186.639958,731.0234637,1096.674097,331950.0177,254.8784927
104.6947279,466.2328985,4095.597751,3186.729617,730.8168415,1096.847929,332011.6434,254.7968171
104.7113946,466.2495651,4095.597751,3186.639958,731.1589642,1097.022808,332038.7329,254.7968171
104.7280612,466.2662318,4095.597751,3186.679807,730.9725259,1097.197687,332022.6308,254.8784927
104.7447279,466.2828985,4095.597751,3186.809313,731.3842369,1097.372566,332160.1148,254.5926264
104.7613946,466.2995651,4095.597751,3186.689769,730.90858,1097.547445,332094.9199,254.9193303
104.7780612,466.3162318,4095.597751,3186.769465,731.1050556,1097.721276,332142.6362,254.7559792
