CO2 Time,Total Time,Cum. Inj Water at inlet,Cum. Prod Water ,Cum Oil prod. ,Cum. Inj CO2,Cum. Prod Gas,Pressure
(hrs),hrs,(rml),ml,(sep_ml),(rml),(std.cc),atm
1.8331,1376.0964,2812.3138,2629.3658,84.6234,3.8417,0.0305,256.5324
1.8498,1376.1130,2812.3138,2629.2315,84.8805,3.8763,0.0164,256.5734
1.8665,1376.1297,2812.3138,2629.2386,84.8348,3.9119,0.0085,256.5734
1.8831,1376.1464,2812.3138,2629.1744,84.9605,3.9465,0.0068,256.5734
1.8998,1376.1630,2812.3138,2629.1830,84.9319,3.9810,0.0268,256.5734
1.9165,1376.1797,2812.3138,2629.3829,84.7477,4.0167,0.0294,256.5734
1.9331,1376.1964,2812.3138,2629.2301,84.9805,4.0512,0.0313,256.5734
1.9498,1376.2130,2812.3138,2629.2458,84.9405,4.0858,0.0391,256.5734
1.9665,1376.2297,2812.3138,2629.3258,84.8948,4.1204,0.0209,256.5734
1.9831,1376.2464,2812.3138,2629.6961,84.5031,4.1560,0.0250,256.5324
1.9998,1376.2630,2812.3138,2629.5758,84.7577,4.1906,0.0032,256.5734
2.0165,1376.2797,2812.3138,2629.8558,84.4462,4.2252,0.0237,256.5734
2.0331,1376.2964,2812.3138,2629.6858,84.6419,4.2608,0.0101,256.6143
2.0498,1376.3130,2812.3138,2629.4758,84.8334,4.2954,0.0205,256.5734
2.0665,1376.3297,2812.3138,2629.4358,84.9077,4.3299,0.0280,256.5734
2.0831,1376.3464,2812.3138,2629.6144,84.7362,4.3656,-0.0018,256.6143
2.0998,1376.3630,2812.3138,2629.7115,84.7205,4.4001,0.0036,256.6143
2.1165,1376.3797,2812.3138,2629.4329,84.9548,4.4358,0.0305,256.5734
2.1331,1376.3964,2812.3138,2629.4901,84.9477,4.4703,0.0145,256.5734
2.1498,1376.4130,2812.3138,2629.4686,85.0091,4.5049,0.0134,256.6143
2.1665,1376.4297,2812.3138,2629.5972,84.8548,4.5405,0.0383,256.6143
2.1831,1376.4464,2812.3138,2629.6258,84.8677,4.5751,0.0304,256.5734
2.1998,1376.4630,2812.3138,2629.8544,84.7105,4.6097,0.0301,256.6143
2.2165,1376.4797,2812.3138,2629.5358,85.0562,4.6443,0.0215,256.5734
2.2331,1376.4964,2812.3138,2629.8758,84.7491,4.6799,0.0160,256.6143
2.2498,1376.5130,2812.3138,2629.5744,85.0305,4.7145,0.0210,256.6143
2.2665,1376.5297,2812.3138,2629.5744,85.0305,4.7490,0.0101,256.5734
2.2831,1376.5464,2812.3138,2629.9501,84.7048,4.7847,0.0216,256.5734
2.2998,1376.5630,2812.3138,2630.0487,84.6004,4.8192,0.0252,256.5734
2.3165,1376.5797,2812.3138,2629.9594,84.7626,4.8538,0.0232,256.5734
2.3331,1376.5964,2812.3138,2629.9344,84.7091,4.8894,0.0221,256.6143
2.3498,1376.6130,2812.3138,2629.8331,84.9018,4.9240,0.0289,256.5734
2.3665,1376.6297,2812.3138,2630.0116,84.7776,4.9586,0.0246,256.5734
2.3831,1376.6464,2812.3138,2630.0268,84.7853,4.9942,0.0164,256.6143
2.3998,1376.6630,2812.3138,2629.6529,85.0977,5.0288,0.0189,256.6143
2.4165,1376.6797,2812.3138,2629.7408,85.0727,5.0644,0.0321,256.5734
2.4331,1376.6964,2812.3138,2630.0958,84.8062,5.0990,0.0290,256.6143
2.4498,1376.7130,2812.3138,2630.3751,84.5055,5.1336,0.0192,256.6143
2.4665,1376.7297,2812.3138,2630.0165,84.9398,5.1692,0.0211,256.5734
2.4831,1376.7464,2812.3138,2630.0415,84.9291,5.2038,0.0247,256.5734
2.4998,1376.7630,2812.3138,2630.2058,84.7548,5.2384,0.0261,256.5734
2.5165,1376.7797,2812.3138,2630.0637,84.9383,5.2740,0.0304,256.5734
2.5331,1376.7964,2812.3138,2629.9344,85.0805,5.3086,0.0137,256.5734
2.5498,1376.8130,2812.3138,2630.0758,85.0019,5.3431,0.0228,256.5734
2.5665,1376.8297,2812.3138,2630.3716,84.6718,5.3777,0.0144,256.5734
2.5831,1376.8464,2812.3138,2630.2272,84.8277,5.4133,0.0211,256.5734
2.5998,1376.8630,2812.3138,2630.4658,84.6334,5.4479,0.0048,256.5324
2.6165,1376.8797,2812.3138,2630.2744,84.8962,5.4825,0.0224,256.5734
2.6331,1376.8964,2812.3138,2630.3901,84.8062,5.5181,0.0227,256.5734
2.6498,1376.9130,2812.3138,2630.2644,84.9748,5.5527,0.0194,256.5324
2.6665,1376.9297,2812.3138,2630.2644,84.9748,5.5873,0.0244,256.5734
2.6831,1376.9464,2812.3138,2630.6372,84.6048,5.6229,0.0297,256.5734
2.6998,1376.9630,2812.3138,2630.3958,84.9277,5.6575,0.0195,256.5324
2.7165,1376.9797,2812.3138,2630.5801,84.7177,5.6931,0.0142,256.5324
2.7331,1376.9964,2812.3138,2630.7858,84.4777,5.7277,0.0288,256.5324
2.7498,1377.0130,2812.3138,2630.5044,84.8505,5.7622,0.0090,256.5324
2.7665,1377.0297,2812.3138,2630.6458,84.7605,5.7979,0.0133,256.5324
2.7831,1377.0464,2812.3138,2630.6029,84.8119,5.8324,0.0240,256.5324
2.7998,1377.0630,2812.3138,2630.8244,84.6134,5.8670,0.0392,256.5324
2.8165,1377.0797,2812.3138,2630.6901,84.7491,5.9016,0.0270,256.5324
2.8331,1377.0964,2812.3138,2630.4729,85.0005,5.9372,0.0193,256.5324
2.8498,1377.1130,2812.3138,2630.9386,84.7062,5.9718,0.0270,256.5324
2.8665,1377.1297,2812.3138,2630.7615,84.8434,6.0064,0.0110,256.5324
2.8831,1377.1464,2812.3138,2630.9629,84.6091,6.0420,0.0278,256.5324
2.8998,1377.1630,2812.3138,2631.0629,84.5077,6.0766,0.0228,256.5324
2.9165,1377.1797,2812.3138,2631.1021,84.4956,6.1111,0.0250,256.5324
2.9331,1377.1964,2812.3138,2631.2028,84.4650,6.1468,0.0377,256.5324
2.9498,1377.2130,2812.3138,2631.0515,84.6748,6.1813,0.0257,256.5324
2.9665,1377.2297,2812.3138,2630.9158,84.7791,6.2159,0.0299,256.5324
2.9831,1377.2464,2812.3138,2631.0186,84.7048,6.2515,0.0163,256.5324
2.9998,1377.2630,2812.3138,2631.1215,84.7062,6.2861,0.0136,256.5324
3.0165,1377.2797,2812.3138,2631.3274,84.5031,6.3217,0.0208,256.5324
3.0331,1377.2964,2812.3138,2631.0376,84.7773,6.3563,0.0262,256.5324
3.0498,1377.3130,2812.3138,2631.1515,84.6391,6.3909,0.0331,256.5324
3.0665,1377.3297,2812.3138,2631.1515,84.6391,6.4265,0.0272,256.5324
3.0831,1377.3464,2812.3138,2631.1626,84.6979,6.4611,0.0301,256.5324
3.0998,1377.3630,2812.3138,2631.3272,84.5177,6.4957,0.0207,256.5324
3.1165,1377.3797,2812.3138,2631.3601,84.4848,6.5302,0.0046,256.5324
3.1331,1377.3964,2812.3138,2631.0898,84.8651,6.5659,0.0171,256.5324
3.1498,1377.4130,2812.3138,2631.2201,84.7691,6.6004,0.0277,256.5324
3.1665,1377.4297,2812.3138,2631.4834,84.5129,6.6350,0.0178,256.5324
3.1831,1377.4464,2812.3138,2631.3829,84.6191,6.6706,0.0186,256.5324
3.1998,1377.4630,2812.3138,2631.3486,84.6577,6.7052,0.0227,256.5324
3.2165,1377.4797,2812.3138,2631.2086,84.8677,6.7398,0.0255,256.5324
3.2331,1377.4964,2812.3138,2631.4015,84.7105,6.7754,0.0249,256.5324
3.2498,1377.5130,2812.3138,2631.8099,84.3136,6.8100,0.0360,256.5324
3.2665,1377.5297,2812.3138,2631.8286,84.2948,6.8456,0.0222,256.4915
3.2831,1377.5464,2812.3138,2631.6172,84.5534,6.8802,0.0260,256.5324
3.2998,1377.5630,2812.3138,2631.3727,84.7679,6.9148,0.0176,256.5324
3.3165,1377.5797,2812.3138,2631.5309,84.6369,6.9504,0.0327,256.5324
3.3331,1377.5964,2812.3138,2631.4415,84.7619,6.9850,0.0276,256.5324
3.3498,1377.6130,2812.3138,2631.7144,84.4748,7.0195,0.0209,256.5324
