Time,Cum. Inj. Water,Cum Prod Water,Cum. Oil Prod. ,Cum. Inj CO2,Cum. Prod Gas,Pressure
(hrs),(rml),ml,(sep_ml),(rml),(std.cc),atm
4.113,51.707,-0.322,40.005,0.000,4294.355,296.393
4.130,51.917,-0.372,40.817,0.000,4293.400,296.352
4.146,52.126,-0.691,40.780,0.000,4321.227,296.352
4.163,52.337,-0.810,40.974,0.000,4321.102,296.433
4.180,52.546,-0.531,41.057,0.000,4343.875,296.393
4.196,52.756,-0.362,40.960,0.000,4362.198,296.352
4.213,52.966,-0.711,41.651,0.000,4383.481,296.393
4.230,53.172,-0.601,41.106,0.000,4406.788,296.352
4.246,53.385,-0.292,41.590,0.000,4409.405,296.433
4.263,53.591,-0.621,41.673,0.000,4431.851,296.352
4.280,53.801,-0.192,41.577,0.000,4433.550,296.352
4.296,54.011,-0.192,41.711,0.000,4434.339,296.311
4.313,54.221,-0.302,42.273,0.000,4490.914,296.474
4.330,54.430,-0.402,42.407,0.000,4500.354,296.393
4.346,54.640,-0.442,42.410,0.000,4490.951,296.311
4.363,54.849,-0.720,43.053,0.000,4526.883,296.515
4.380,55.060,-0.551,42.697,0.000,4522.967,296.393
4.396,55.269,-0.541,42.951,0.000,4537.517,296.230
4.413,55.479,-0.402,43.293,0.000,4553.600,296.311
4.430,55.689,-0.372,42.739,0.000,4542.617,296.433
4.446,55.899,-0.481,43.112,0.000,4635.451,296.393
4.463,56.108,-0.272,43.256,0.000,4597.170,296.393
4.480,56.317,-0.412,43.957,0.000,4645.282,296.311
4.496,56.528,-0.461,43.692,0.000,4644.717,296.393
4.513,56.737,-0.551,44.234,0.000,4658.013,296.311
4.530,56.947,-0.551,44.365,0.000,4691.828,296.433
4.546,57.153,-0.362,44.529,0.000,4693.133,296.433
4.563,57.363,-0.452,44.462,0.000,4733.296,296.474
4.580,57.573,-0.621,44.467,0.000,4728.896,296.311
4.596,57.783,-0.671,44.839,0.000,4736.396,296.433
4.613,57.992,-0.332,44.824,0.000,4746.102,296.433
4.630,58.202,-0.352,44.747,0.000,4775.756,296.433
4.646,58.411,-0.471,45.809,0.000,4799.220,296.189
4.663,58.621,-0.392,45.573,0.000,4792.575,296.352
4.680,58.831,-0.461,45.836,0.000,4825.876,296.352
4.696,59.040,-0.432,45.989,0.000,4827.932,296.352
4.713,59.250,-0.511,46.095,0.000,4849.477,296.189
4.730,59.460,-0.641,46.446,0.000,4853.967,296.433
4.746,59.670,-0.491,45.951,0.000,4907.763,296.352
4.763,59.878,-0.491,46.084,0.000,4918.325,296.393
4.780,60.089,-0.402,46.656,0.000,4905.370,296.433
4.796,60.298,-0.402,46.870,0.000,4949.768,296.433
4.813,60.508,-0.481,46.844,0.000,4915.087,296.311
4.830,60.717,-0.153,46.038,0.000,4959.298,296.311
4.846,60.928,-0.452,47.308,0.000,4964.898,296.433
4.863,61.134,-0.671,47.521,0.000,4996.818,296.352
4.880,61.343,-0.372,47.076,0.000,5007.858,296.433
4.896,61.554,-0.402,47.410,0.000,5011.981,296.393
4.913,61.763,-0.551,47.823,0.000,5026.845,296.393
4.930,61.974,-0.491,47.457,0.000,5072.895,296.393
4.946,62.183,-0.382,47.542,0.000,5078.298,296.352
4.963,62.393,-0.292,47.815,0.000,5072.696,296.393
4.980,62.603,-0.521,47.938,0.000,5107.673,296.352
4.996,62.813,-0.352,48.143,0.000,5121.704,296.556
5.013,63.022,-0.312,48.243,0.000,5131.843,296.352
5.030,63.233,-0.312,48.377,0.000,5144.924,296.352
5.046,63.439,-0.571,48.989,0.000,5168.464,296.352
5.063,63.649,-0.332,48.903,0.000,5186.495,296.311
5.080,63.859,-0.581,49.166,0.000,5207.310,296.311
5.096,64.068,-0.422,49.380,0.000,5214.481,296.270
5.113,64.278,-0.511,49.513,0.000,5225.537,296.352
5.130,64.487,-0.521,49.587,0.000,5241.239,296.352
5.146,64.697,-0.432,49.660,0.000,5262.224,296.433
5.163,64.906,-0.711,50.133,0.000,5315.080,296.270
5.180,65.117,-0.601,50.396,0.000,5292.490,296.148
5.196,65.326,-0.452,50.081,0.000,5304.401,296.393
5.213,65.536,-0.581,50.722,0.000,5343.662,296.311
5.230,65.745,-0.621,50.866,0.000,5331.442,296.352
5.246,65.956,-0.621,50.999,0.000,5340.500,296.270
5.263,66.165,-0.402,50.894,0.000,5364.708,296.474
5.280,66.375,-0.651,51.476,0.000,5366.418,296.433
5.296,66.584,-0.382,51.371,0.000,5418.295,296.433
5.313,66.791,-0.651,51.541,0.000,5421.853,296.311
5.330,67.001,-0.262,51.895,0.000,5437.258,296.311
5.346,67.210,-0.621,52.008,0.000,5445.413,296.474
5.363,67.421,-0.521,51.952,0.000,5483.014,296.515
5.380,67.630,-0.541,51.996,0.000,5470.767,296.311
5.396,67.840,-0.561,52.459,0.000,5505.932,296.433
5.413,68.049,-0.212,52.443,0.000,5490.695,296.311
5.430,68.259,-0.651,52.666,0.000,5509.946,296.311
5.446,68.469,-0.491,52.481,0.000,5545.343,296.352
5.463,68.679,-0.750,53.110,0.000,5578.556,296.433
5.480,68.889,-0.750,53.244,0.000,5577.055,296.270
5.496,69.099,-0.471,53.028,0.000,5577.371,296.311
5.513,69.307,-0.541,53.173,0.000,5599.418,296.393
5.530,69.518,-0.631,53.696,0.000,5650.370,296.433
5.546,69.727,-0.392,53.339,0.000,5639.147,296.433
5.563,69.933,-0.651,53.682,0.000,5636.760,296.393
5.580,70.144,-0.432,54.365,0.000,5655.471,296.311
5.596,70.353,-0.631,54.109,0.000,5662.290,296.352
5.613,70.563,-0.591,54.720,0.000,5688.568,296.556
5.630,70.772,-0.501,54.515,0.000,5714.583,296.433
